train loss of iteraction 189:0.10103278
train loss of iteraction 190:0.10195508
train loss of iteraction 191:0.10183908
train loss of iteraction 192:0.10188478
train loss of iteraction 193:0.101002835
train loss of iteraction 194:0.10074067
train loss of iteraction 195:0.101688296
train loss of iteraction 196:0.10133175
train loss of iteraction 197:0.10141413
train loss of iteraction 198:0.10150267
train loss of iteraction 199:0.1008257
train loss of iteraction 200:0.1006433
train loss of iteraction 201:0.10066044
